STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
DAN,M,3,SNOW WC,20170101 0000,20170101 0000,---, ,INCHES
DAN,M,3,SNOW WC,20170201 0000,20170128 0000,42.2, ,INCHES
DAN,M,3,SNOW WC,20170301 0000,20170302 0000,65.5, ,INCHES
DAN,M,3,SNOW WC,20170401 0000,20170327 0000,64, ,INCHES
DAN,M,3,SNOW WC,20170501 0000,20170427 0000,69, ,INCHES
DAN,M,3,SNOW WC,20170601 0000,20170601 0000,---, ,INCHES
DAN,M,3,SNOW WC,20180101 0000,20180101 0000,---, ,INCHES
DAN,M,3,SNOW WC,20180201 0000,20180127 0000,7.5, ,INCHES
DAN,M,3,SNOW WC,20180301 0000,20180222 0000,9, ,INCHES
DAN,M,3,SNOW WC,20180401 0000,20180326 0000,20, ,INCHES
DAN,M,3,SNOW WC,20180501 0000,20180423 0000,18.5, ,INCHES
DAN,M,3,SNOW WC,20180601 0000,20180601 0000,---, ,INCHES
DAN,M,3,SNOW WC,20190101 0000,20190101 0000,---, ,INCHES
DAN,M,3,SNOW WC,20190201 0000,20190128 0000,18.5, ,INCHES
DAN,M,3,SNOW WC,20190301 0000,20190225 0000,36, ,INCHES
DAN,M,3,SNOW WC,20190401 0000,20190401 0000,44.5, ,INCHES
DAN,M,3,SNOW WC,20190501 0000,20190426 0000,41.4, ,INCHES
DAN,M,3,SNOW WC,20190601 0000,20190601 0000,---, ,INCHES
DAN,M,3,SNOW WC,20200101 0000,20200101 0000,---, ,INCHES
DAN,M,3,SNOW WC,20200201 0000,20200130 0000,9.9, ,INCHES
DAN,M,3,SNOW WC,20200301 0000,20200226 0000,10.65, ,INCHES
DAN,M,3,SNOW WC,20200401 0000,20200402 0000,13.45, ,INCHES
DAN,M,3,SNOW WC,20200501 0000,20200426 0000,14.65, ,INCHES
DAN,M,3,SNOW WC,20200601 0000,20200601 0000,---, ,INCHES
DAN,M,3,SNOW WC,20210101 0000,20210101 0000,---, ,INCHES
DAN,M,3,SNOW WC,20210201 0000,20210201 0000,12.5, ,INCHES
DAN,M,3,SNOW WC,20210301 0000,20210226 0000,15.1, ,INCHES
DAN,M,3,SNOW WC,20210401 0000,20210401 0000,18, ,INCHES
DAN,M,3,SNOW WC,20210501 0000,20210428 0000,12, ,INCHES
